#,Team,Tm,ATS,ATS%,W/L,O/U,PPG,PAG,Pts-M/G
1,Oklahoma City,OKC,35 - 22 - 3,61.4,28 - 32,34 - 25 - 1,117.82,116.57,1.25
2,Philadelphia,PHI,35 - 24 - 0,59.32,39 - 20,32 - 26 - 1,113.9,110.2,3.7
3,Denver,DEN,35 - 27 - 0,56.45,43 - 19,30 - 31 - 1,116.95,112.84,4.11
4,Utah,UTA,34 - 26 - 2,56.67,31 - 31,33 - 29 - 0,117.61,117.02,0.6
5,Milwaukee,MIL,33 - 25 - 2,56.9,43 - 17,28 - 32 - 0,114.87,111.22,3.65
6,New York,NYK,34 - 26 - 3,56.67,36 - 27,33 - 29 - 1,114.7,111.89,2.81
7,Sacramento,SAC,33 - 26 - 1,55.93,35 - 25,29 - 29 - 2,120.7,118.08,2.62
8,Orlando,ORL,34 - 27 - 1,55.74,26 - 36,29 - 33 - 0,110.65,113.32,-2.68
9,Phoenix,PHO,33 - 28 - 1,54.1,33 - 29,29 - 33 - 0,112.68,111.26,1.42
10,Cleveland,CLE,33 - 28 - 3,54.1,39 - 25,30 - 34 - 0,111.92,106.53,5.39
11,Boston,BOS,33 - 28 - 1,54.1,44 - 18,31 - 30 - 1,117.74,112.03,5.71
12,Indiana,IND,33 - 29 - 0,53.23,27 - 35,29 - 32 - 1,114.98,117.39,-2.4
13,Brooklyn,BRK,30 - 28 - 2,51.72,34 - 26,28 - 31 - 1,113.78,112.88,0.9
14,Chicago,CHI,30 - 29 - 2,50.85,28 - 33,25 - 35 - 1,113.2,112.43,0.77
15,Portland,POR,30 - 29 - 1,50.85,29 - 31,29 - 30 - 1,115.17,115.32,-0.15
16,Washington,WAS,28 - 29 - 3,49.12,28 - 32,27 - 30 - 3,113.03,113.18,-0.15
17,L.A. Clippers,LAC,31 - 32 - 0,49.21,33 - 30,29 - 34 - 0,112.65,112.52,0.13
18,Toronto,TOR,30 - 32 - 0,48.39,30 - 32,34 - 28 - 0,112.73,112.16,0.56
19,L.A. Lakers,LAL,29 - 31 - 1,48.33,29 - 32,31 - 30 - 0,117.03,117.89,-0.85
20,Golden State,GSW,28 - 31 - 2,47.46,31 - 30,35 - 23 - 3,118.3,118.1,0.2
21,Memphis,MEM,27 - 31 - 1,46.55,36 - 23,27 - 32 - 0,115.86,111.86,4
22,Charlotte,CHO,28 - 32 - 3,46.67,20 - 43,29 - 33 - 1,112.63,118.37,-5.73
23,Minnesota,MIN,29 - 34 - 0,46.03,31 - 32,29 - 33 - 1,115.48,115.75,-0.27
24,Detroit,DET,27 - 32 - 3,45.76,15 - 47,32 - 29 - 1,111.73,119.23,-7.5
25,New Orleans,NOP,28 - 34 - 0,45.16,30 - 32,33 - 29 - 0,114.32,113.55,0.77
26,Atlanta,ATL,27 - 34 - 0,44.26,31 - 30,35 - 26 - 0,116.92,116.95,-0.03
27,Houston,HOU,24 - 35 - 1,40.68,13 - 47,29 - 30 - 1,109.68,118.33,-8.65
28,San Antonio,SAS,24 - 37 - 0,39.34,14 - 47,35 - 25 - 1,112.33,122.85,-10.52
29,Dallas,DAL,23 - 37 - 2,38.33,32 - 30,34 - 28 - 0,113.39,112.55,0.84
30,Miami,MIA,22 - 37 - 2,37.29,32 - 29,28 - 33 - 0,107.98,108.47,-0.48
